"Drug Name","NDC #","Total Rxs","Quantity","Total",
"WARFARIN SODIUM 5MG TAB ***","00093-1721-01","3","150","41.94"
"LOSARTAN-HCTZ 50-12.5 MG TABLET","33342-0050-44","3","150","26.89"
"EXEMESTANE 25MG TABLET","71921-0190-33","3","150","116.87"
"LINZESS 72 MCG ORAL CAPSULE","00456-1203-30","3","150","1366.45"
"LOKELMA 10GM PACK","00310-1110-30","5","150","4270.90"
"BISOPROLOL-HCTZ 10-6.25MG TABLET","00378-0505-01","3","150","23.02"
"VALSARTAN 80MG TABLET","00378-5813-77","3","150","37.45"
"SILVER SULFADIAZINE 1 % EXTERNAL CREAM","67877-0124-05","3","150","32.53"
"LIDOCAINE 5% PATCH ***","00591-3525-30","3","150","392.33"
"METOPROLOL TARTRATE 25MG TABLET","57237-0100-99","2","150","22.94"
"RYBELSUS 3MG TABLET","00169-4303-30","3","150","4839.98"
"AMOXICILLIN 500 MG CAPSULE","57237-0031-05","7","147","28.68"
"METRONIDAZOLE 0.75% VAGINAL GEL","73473-0303-70","2","140","35.02"
"MOMETASONE FUROATE 0.1 % EXTERNAL CREAM","00713-0634-37","3","135","68.48"
"TRETINOIN 0.025 % EXTERNAL CREAM","51672-1407-09","3","135","212.48"
"BENZONATATE 200MG CAPSULE","42806-0715-01","5","132","53.79"
"IPRATROPIUM BROMIDE 0.02 % INHALATION SOLUTION","00378-7970-52","1","125","13.75"
"NITROGLYCERIN 0.4 MG SUBLINGUAL TAB 25X4","59762-3304-03","2","125","57.28"
"DONEPEZIL 5MG TAB ***","43547-0275-11","2","120","2.47"
"INDAPAMIDE 1.25MG TABLET","62559-0510-01","2","120","15.04"
"CICLOPIROX 0.77 % EXTERNAL SUSPENSION","45802-0400-49","4","120","128.09"
"CICLOPIROX 0.77% CREAM ***","51672-1318-02","3","120","61.30"
"AMLODIPINE-OLMESARTAN 5-20MG TABLET","42571-0235-30","2","120","17.26"
"TIZANIDINE 4MG TABLET","57664-0503-18","4","120","16.09"
"TRANEXAMIC ACID 650MG TABLET","69918-0301-30","1","120","161.66"
"VRAYLAR 1.5MG CAPSULE","61874-0115-30","4","120","6129.43"
"VALSARTAN-HCTZ 160-25MG TABLET","00378-6323-77","2","120","22.71"
"CITALOPRAM 20MG TABLET","69097-0823-12","2","120","8.03"
"CELECOXIB 100MG CAP ***","69097-0422-07","2","120","2.32"
"ANASTROZOLE 1MG TABLET","16729-0035-10","2","120","12.74"
"GLIPIZIDE-METFORMIN 2.5-500MG TABLET","00093-7456-01","2","120","36.23"
"METOCLOPRAMIDE 5MG TABLET","00093-2204-05","1","120","3.97"
"MECLIZINE 25MG TABLET","65162-0442-10","2","120","21.83"
"NIFEDIPINE 90MG TABLET ER","59651-0297-01","2","120","45.64"
"ALLOPURINOL 100 MG TABLET","00378-0137-10","2","120","16.57"
"MEMANTINE HCL ER 7 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR","70436-0054-04","2","120","72.81"
"AMLODIPINE BESYLATE-VALSARTAN 10-160 MG ORAL TABLET","33342-0280-07","2","120","38.44"
"OMEPRAZOLE 20MG CAPSULE DR","68462-0396-10","2","120","2.86"
"NYSTATIN 100000UNIT/GM POWDER****","00832-0465-30","2","120","93.05"
"SPIRONOLACTONE 50MG TABLET","68382-0661-05","2","120","29.97"
"MESALAMINE ER 0.375GCAPSULE","68382-0452-19","1","120","29.47"
"EMTRICITABINE-TENOFOVIR DF 200-300MG TABLET","42385-0953-30","2","120","86.85"
"METHENAMINE HIPPURATE 1GM TABLET","65862-0782-01","1","120","30.01"
"FLUTICASONE-SALMETEROL 100-50 MCG/ACT INH AEROSOL","00054-0326-56","2","120","77.17"
"MIRABEGRON ER 25MG TABLET","70710-1159-03","4","120","951.74"
"DAPAGLIFLOZIN PROPANEDIOL 5MG TABLET","66993-0456-30","2","120","725.77"
"CLONAZEPAM 0.5MG TABLET","59651-0722-99","4","120","32.13"
"TOPIRAMATE 25MG TABLET","68382-0138-05","3","120","24.62"
"VERAPAMIL ER 120MG TABLET","68462-0292-01","2","120","19.54"
"LACOSAMIDE 200 MG ORAL TABLET","62332-0174-60","1","120","46.03"
"LITHIUM CARBONATE 300MG CAP ***","31722-0545-01","1","120","4.87"
"NIFEDIPINE 30MG TABLET ER","50742-0260-03","2","120","10.01"
"OXYCODONE 30MG TABLET","10702-0009-50","1","120","43.09"
"BUDESONIDE 0.5 MG/2ML INHALATION SUSPENSION","00093-6816-55","1","120","32.77"
"ARIPIPRAZOLE 2MG TABLET","67877-0430-03","2","120","17.66"
"LAMOTRIGINE 150MG  TABLET","65862-0229-60","1","120","18.31"
"RYBELSUS 7MG TABLET","00169-4307-30","2","120","3836.17"
"LEVOCETIRIZINE 5MG TABLET","31722-0551-90","2","120","7.46"
"NABUMETONE 500MG TABLET","69367-0241-01","3","118","17.94"
"BUDESONIDE-FORMOTEROL FUMARATE 80-4.5MCG/ACT AEROSOL","00310-7372-20","9","112.2","1438.98"
"ALTAVERA 0.15-30MG TABLET****","70700-0116-85","2","112","32.92"
"NORETHINDRONE 0.35MG TABLET ***","68180-0876-73","2","112","19.75"
"ALENDRONATE 70MG TAB ***","69097-0224-16","11","108","66.03"
